,feature name,feature value,min,1q,median,3q,max,mean,sd,n (nearest 5),kfold
178,precise_onset_known,0.0,-4.6631149951554836,0.41037542798090726,0.5211216732487083,0.6611311611160636,15.381163765536622,0.544413630637353,0.29378929734854214,52660,2
179,precise_onset_known,1.0,-18.97431681090966,-2.518846426893724,-2.079572836733423,-1.6687969237305516,12.78660543604754,-2.128110764458578,1.004522656780311,24720,2
180,diabetes,0.0,-10.847137978095562,-1.1059671707870438,-0.9340125909727067,-0.6995640253147576,4.986094354046509,-0.8993176826077605,0.5178279504284623,59740,2
181,diabetes,1.0,-14.27337732906919,1.7574370204098524,2.2530683066975326,2.7127724284958097,24.07708026252687,2.191255072136335,1.1498232452611452,17645,2
182,IMD_2019_QUINTILES,1.0,-14.934982868002262,0.2642607675929321,0.76099701256142,1.1880221513472498,14.675043456810526,0.6746419309384222,1.049561466423191,15725,2
183,IMD_2019_QUINTILES,2.0,-13.252170704675372,-0.2399309223346063,0.008835581802995875,0.23979286961373872,16.09049747691315,0.010479951517709559,0.7123355257397322,15355,2
184,IMD_2019_QUINTILES,3.0,-9.81663361087325,-0.22661395959556102,-0.05641326208366081,0.1182665748911677,11.394091774177504,-0.04593038260948021,0.5080195240851435,15820,2
185,IMD_2019_QUINTILES,4.0,-7.694522381587885,-0.49725797956401946,-0.2541028374584857,0.03373406179598533,16.534168478098,-0.18197746587688723,0.6368959592293754,15725,2
186,IMD_2019_QUINTILES,5.0,-15.519607456441737,-0.9536432651412906,-0.6758978021331131,-0.3487173723283922,21.12509977939073,-0.6249655045673564,0.8752640954235299,14760,2
187,any_afib_diagnosis,0.0,-15.999912032731809,-0.45452993420884014,-0.2818971665948629,-0.0983554660808295,5.240978792347014,-0.2835280140555506,0.4160815488567023,58775,2
188,any_afib_diagnosis,1.0,-12.304748790767043,0.27949244462302886,0.903659838642925,1.3995274712657557,21.41658415612299,0.8351744452179994,0.9162474729928733,18610,2
189,stroke_severity_arrival,0.0,-28.34113049563952,-9.030657386757667,-7.927472367857117,-6.047771157538518,15.273827428200748,-7.187417537259451,2.7083503341338973,7230,3
190,stroke_severity_arrival,1.0,-22.073328030230478,-12.190217839300168,-11.308153459716705,-9.698896131428484,3.8652264264732366,-10.69769454890467,2.228571686274802,7720,3
191,stroke_severity_arrival,2.0,-25.99627389258472,-10.537235250266093,-9.445255050587003,-7.848501019498217,-0.6740491810254753,-8.987255541534998,2.113860426329919,9505,3
192,stroke_severity_arrival,3.0,-13.486762531267013,-8.520279505394864,-7.344154932629317,-5.89022534931777,2.573560931647662,-7.104709670016236,1.9374844767354682,8145,3
193,stroke_severity_arrival,4.0,-13.740615699626506,-5.241129262755857,-3.921592119850684,-2.1085454894741997,7.403891477205325,-3.6726723762739417,2.1603537722970625,6555,3
194,stroke_severity_arrival,5.0,-18.2293056359794,-3.32790062570828,-1.472120836947579,-0.12183468706323766,27.80532274148194,-1.6770581144029881,2.0274011594113035,5225,3
195,stroke_severity_arrival,6.0,-13.156452591044944,-0.6457884596975054,1.2510385390475858,2.1175088410389433,7.666559660089551,0.6819583005128609,1.8796856719539943,4190,3
196,stroke_severity_arrival,7.0,-8.497617828205694,1.9011339756299277,3.6600484753376805,4.5685657402593645,9.598656812482513,3.1561062227602057,1.90733882388363,3230,3
197,stroke_severity_arrival,8.0,-8.181425344122108,5.0565986894251544,6.819981797236832,7.690377422431484,12.966009662610013,6.2875408155085815,2.046441382183805,2585,3
198,stroke_severity_arrival,9.0,-6.4588772117625926,5.777226991497446,7.272292845158372,9.079802843114592,18.274972289467698,7.318351438361961,2.2646664487985104,2190,3
199,stroke_severity_arrival,10.0,-11.356816307019908,8.220606087836787,10.151449856712716,12.322740344452322,43.35996458497364,10.146085962222713,2.841762069135636,1835,3
200,stroke_severity_arrival,11.0,-14.63024848487461,8.42585265888134,10.6138535674382,12.895667782244272,24.592089144567726,10.501996014422126,3.247518103837358,1690,3
201,stroke_severity_arrival,12.0,-18.911300544482657,8.65919879527297,11.386145141921297,14.392943795970059,26.215059534631436,11.438355738514893,3.8568904635728685,1405,3
202,stroke_severity_arrival,13.0,-12.820704453100916,9.831220087631955,13.49620132325974,16.699925527736198,29.210094749026467,13.414731734474197,4.685378086703303,1280,3
203,stroke_severity_arrival,14.0,-5.765896833282896,10.28823816972319,14.688148043064865,18.01379814471118,39.817091982889686,14.488834042288882,5.157275181334367,1250,3
204,stroke_severity_arrival,15.0,3.355661951828515,9.9495251529105,15.059009704076452,18.78902714192518,31.897658974523655,14.899353555558449,5.612658324005576,1185,3
205,stroke_severity_arrival,16.0,0.7517389100859873,10.840841980881523,16.204226758531295,20.08290481945267,40.85958568303613,15.956594325981708,6.016449947180106,1175,3
206,stroke_severity_arrival,17.0,-2.036395482708467,9.752547093590255,14.94176828773343,19.562646409786538,50.538603158661864,15.099349803155706,6.553292898475512,1155,3
207,stroke_severity_arrival,18.0,-6.6725908936536875,9.07000636094599,15.24852364111808,20.37661492485524,42.2220630450279,15.214100219305742,7.27466197029641,1165,3
208,stroke_severity_arrival,19.0,-4.923365663760341,8.894054456646554,14.702580047087977,19.52277549101622,56.00413541297894,14.606906849017372,6.9624848703598605,1105,3
209,stroke_severity_arrival,20.0,-1.4014186652807985,6.281129251843086,13.338611300173216,18.675732910516672,48.92709353440907,13.881306385768754,8.65723379245431,985,3
210,stroke_severity_arrival,21.0,-6.054389112221543,5.261446571284905,12.058304728531512,17.427819165811524,79.15807119562756,12.675261827856742,9.011085900683236,950,3
211,stroke_severity_arrival,22.0,-0.7083575306693092,5.507656310282182,11.80650993098272,17.415614157691596,48.797485775982494,12.769676745382071,8.759216928440564,820,3
212,stroke_severity_arrival,23.0,-3.903749913962092,3.0105985802365467,8.923209543077391,15.132320678860415,54.60166142080096,9.904941741399668,8.026485817084172,730,3
213,stroke_severity_arrival,24.0,-6.240863204589114,0.6751267301314511,6.16718480278505,12.561909294320504,41.6449468882673,7.6123374824408225,8.125979229240476,675,3
214,stroke_severity_arrival,25.0,-6.42923154402757,0.8649830855242908,6.126210637973854,12.298246621622239,55.8835808921908,7.816658448270583,8.819980448305834,650,3
215,stroke_severity_arrival,26.0,-23.907213738881982,-1.4692295575351455,3.840151284588501,10.563914849474095,45.56126083130948,5.724783362119669,8.952019882633419,560,3
216,stroke_severity_arrival,27.0,-9.284882816479076,-2.834805782462354,0.3976166293071583,5.746804039807757,40.133789206692015,3.039613932791235,8.407830152334215,455,3
217,stroke_severity_arrival,28.0,-7.663638518478256,-3.622895059557632,-1.0271495623351075,2.6658018346934114,53.60074285742943,1.6573890549888117,8.61605329194022,370,3
218,stroke_severity_arrival,29.0,-18.86704996060347,-5.746075892292719,-2.3364821444515833,3.178187382258766,40.43009326139581,-0.14364051283611365,8.214360002964908,250,3
219,stroke_severity_arrival,30.0,-15.494736134083942,-9.251889968331962,-6.952856874316349,-3.304696514562238,43.21353001830052,-5.172135470840494,6.998965103264288,230,3
220,stroke_severity_arrival,31.0,-18.317459989057387,-10.145111582068495,-8.673609065094496,-5.78412516215467,7.930091606755741,-7.8626134258939295,3.904881203391252,140,3
221,stroke_severity_arrival,32.0,-13.546918053285918,-10.780768639118179,-8.185047445027157,-4.294835079957265,22.122107812419998,-6.638700999969234,5.849631097581813,155,3
222,stroke_severity_arrival,33.0,-18.566074867469723,-11.943630361383839,-10.571032227741089,-8.342476060222252,49.70276185909519,-8.525489930907588,7.94112197967395,110,3
223,stroke_severity_arrival,34.0,-20.175125739979556,-13.528747355304366,-11.549618902425282,-8.934385241830022,26.1746672987123,-9.570347435816602,8.419539755436237,65,3
224,stroke_severity_arrival,35.0,-14.457082190974615,-10.46959573225933,-8.394198173687327,-2.5947078513307495,58.623983269075396,-4.985954816855549,10.44785202462234,75,3
225,stroke_severity_arrival,36.0,-19.233154678712598,-13.927979114311166,-10.96552840408869,-7.780038409040426,16.579281397889137,-9.294956006026082,7.7969943571602585,45,3
